MAC Address,Network Adapter,IP Address,Computer Name,GUID/UUID,GUID/UUID Mac Address Conversion,Total RAM Memory,Sid,RAM Memory Bank Label,RAM Memory Capacity,RAM Memory Device Locator,RAM Memory Manufacturer,Computer Manufacturer,Computer Model,Computer Serial,Motherboard Manufacturer,Motherboard Model,Motherboard Product,Motherboard Serial Number,Motherboard Version,Hard Disk Drive Letter,Hard Disk Size,Hard Disk Free Space,Hard Disk Volume Serial Number,Hard Disk Manufacturer,Hard Disk Model,Hard Disk Device ID,Hard Disk Interface Type,Hard Disk Partitions,Hard Disk Total Cylinders,Hard Disk Total Heads,Hard Disk Total Sectors,Hard Disk Total Tracks,Hard Disk Tracks Per Cylinder,Processor Name,Processor Type,Processor Family,Sound Card Manufacturer,Sound Card Product Name,Sound Card Description,Sound Card Name,Video Card Name,Video Card Setting ID,Floppy Manufacturer,Floppy Name,Floppy Device ID,CDROMCaptionSet,CDROMDescriptionSet,CDROMDeviceIDSet,CDROMDriveSet,CDROMManufacturerSet,CDROMNameSet,BIOS Version,Dell Service Tag,Date of Log,Time of Log
74:27:EA:43:8E:51,Realtek PCIe GBE Family Controller,10.1.128.234,CS09,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438E51,8459268096,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11757,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:119 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:54:31
74:27:EA:43:8E:5A,Realtek PCIe GBE Family Controller,10.1.128.237,CS10,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438E5A,8459247616,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11755,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:126 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:28:56
74:27:EA:43:8E:A6,Realtek PCIe GBE Family Controller,10.1.128.236,CS11,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438EA6,8459259904,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11981,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:124 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:14:33
74:27:EA:43:8F:E0,Realtek PCIe GBE Family Controller,10.1.128.235,CS12,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438FE0,8459268096,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11997,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:118 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:24:32
74:27:EA:0A:EB:7B,Realtek PCIe GBE Family Controller,10.1.129.176,CS13,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA0AEB7B,8457682944,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,12304,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:122 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:19:23
74:27:EA:43:8E:A7,Realtek PCIe GBE Family Controller,10.1.128.239,CS14,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438EA7,8459259904,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11989,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:123 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:21:46
74:27:EA:0A:EA:F7,Realtek PCIe GBE Family Controller,10.1.128.241,CS15,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA0AEAF7,8457682944,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11967,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:124 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:12:24
74:27:EA:0B:76:C9,Realtek PCIe GBE Family Controller,10.1.128.251,CS17,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA0B76C9,8457682944,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11974,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:122 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:22:09
74:27:EA:43:8F:6C,Realtek PCIe GBE Family Controller,10.1.128.240,CS18,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438F6C,8459272192,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,ECS,H61H2-I3,0,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:123 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:22:32
74:27:EA:0A:EC:AB,Realtek PCIe GBE Family Controller,10.1.128.238,CS19,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA0AECAB,8460300288,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11975,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:124 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:17:33
74:27:EA:0A:EC:9E,Realtek PCIe GBE Family Controller,10.1.128.244,CS20,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA0AEC9E,8457678848,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11988,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:129 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,09:00:17
74:27:EA:0B:76:C3,Realtek PCIe GBE Family Controller,10.1.128.243,CS21,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA0B76C3,8457682944,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11972,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:127 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,09:00:22
74:27:EA:43:8D:8B,Realtek PCIe GBE Family Controller,10.1.128.231,CS22,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438D8B,4164292608,N/A,1:BANK 1 ,1:4294967296 ,1:ChannelA-DIMM1 ,1:Kingston ,VeryPC,H61H2-I3-N,11985,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:132 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,09:00:56
74:27:EA:0B:76:D2,Realtek PCIe GBE Family Controller,10.1.128.232,CS23,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA0B76D2,8457682944,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,12306,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:130 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,09:01:00
74:27:EA:43:8D:A0,Realtek PCIe GBE Family Controller,10.1.128.255,CS25,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438DA0,8459268096,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,12307,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:127 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:25:51
74:27:EA:43:8E:BC,Realtek PCIe GBE Family Controller,10.1.131.18,CS26,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438EBC,8459268096,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11955,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:135 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:54:22
74:27:EA:43:8D:C6,Realtek PCIe GBE Family Controller,10.1.129.0,CS27,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438DC6,8459272192,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,ECS,H61H2-I3,0,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:126 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:21:59
74:27:EA:0A:EA:D3,Realtek PCIe GBE Family Controller,10.1.129.3,CS29,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA0AEAD3,8457682944,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11963,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:129 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:23:36
74:27:EA:43:90:31,Realtek PCIe GBE Family Controller,10.1.129.8,CS30,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA439031,8459268096,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11977,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:128 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:09:39
74:27:EA:43:8F:95,Realtek PCIe GBE Family Controller,10.1.129.16,CS31,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438F95,8459268096,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11966,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:127 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:26:55
74:27:EA:43:8D:02,Realtek PCIe GBE Family Controller,10.1.128.250,CS32,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438D02,8459259904,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11986,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:121 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:13:27
74:27:EA:43:8D:63,Realtek PCIe GBE Family Controller,10.1.129.15,CS33,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438D63,8459268096,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11756,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:125 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,09:00:32
74:27:EA:43:8D:05,Realtek PCIe GBE Family Controller,10.1.129.6,CS34,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA438D05,8459268096,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,VeryPC,H61H2-I3-N,11982,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:127 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:08:00
74:27:EA:43:90:2F,Realtek PCIe GBE Family Controller,10.1.129.17,CS35,03000200-0400-0500-0006-000700080009,00000000-0000-0000-0000-7427EA43902F,8459259904,N/A,1:BANK 1 2:BANK 3 ,1:4294967296 2:4294967296 ,1:ChannelA-DIMM1 2:ChannelB-DIMM1 ,1:Kingston 2:Kingston ,ECS,H61H2-I3,0,ECS,,H61H2-I3,0,1,1:C: ,1:167 GB ,1:130 GB ,1:A0F75840 ,1:(Standard disk drives) ,1:INTEL SSDSC2CT180A4 ATA Device ,1:\\.\PHYSICALDRIVE0 ,1: IDE ,01:02,1:21889 ,0.21875,1:351646785 ,1:5581695 ,0.21875,1:Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,01:09,1:Intel64 Family 6 Model 58 Stepping 9 ,Intel(R) Corporation,Intel(R) Display Audio,Intel(R) Display Audio,Intel(R) Display Audio,Current Display Controller Configuration,Current Display Controller Configuration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALASKA - 1072009,N/A,17/10/2013,08:54:10
